Date,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Total_Demanda_Dia
2024-01-01,1011,16632.15,16363.25,16717.84,16701.9,16494.69,16189.56,16086.31,15404.21,15580.37,16316.56,16638.93,16444.87,16711.6,17008.52,17590.37,17798.2,18176.18,18254.01,18017.11,18766.87,18725.42,18949.25,19637.77,19670.34,414876.27999999997
2024-01-01,1012,1777.87,1778.46,1771.76,1769.07,1723.03,1774.64,1770.48,1782.61,1800.63,1846.27,1871.67,1887.16,1890.94,1918.24,1942.01,1921.07,1914.71,1891.12,1898.94,1890.3,1884.73,1888.05,1883.68,1863.53,44340.97000000001
2024-01-01,1020,2500.77,2463.29,2469.69,2389.81,2796.56,2853.5,2832.59,2831.87,2763.54,2691.25,2701.61,2843.58,2827.81,2803.25,2791.65,2811.91,2878.83,2887.4,3026.64,3088.11,3135.11,3168.48,3264.91,3229.84,68052.0
2024-01-01,1030,4229.88,4232.89,4087.32,4016.0,3966.3,3900.64,3513.02,4135.53,4437.65,4498.23,4660.5,3616.56,3542.42,3576.43,3612.52,3708.99,3654.69,3776.77,4251.23,4491.17,4521.89,4652.66,5015.59,5223.9,99322.77999999997
2024-01-01,1040,11916.05,11839.01,11660.28,11635.99,11692.39,11717.94,10928.07,11326.83,11995.08,12939.9,14069.39,15213.57,15223.49,15687.44,16826.52,17077.99,17844.97,18108.43,18633.04,19363.36,19824.78,20231.7,22278.89,23814.29,371849.3999999999
2024-01-01,1051,4887.44,4816.18,4733.54,4749.43,4780.26,4664.86,4107.81,3352.83,3314.64,3432.21,3522.88,3555.3,3448.12,3474.76,3709.5,3517.29,3581.53,3955.31,5062.52,5086.37,5099.65,5161.37,5255.37,5432.34,102701.50999999998
2024-01-01,1052,1062.72,1080.25,1116.72,1106.17,1107.33,1081.5,1061.53,992.39,949.67,734.3,845.12,887.24,1117.65,1158.73,1298.84,1568.8,555.96,722.08,561.35,556.25,727.56,4275.98,721.42,183.0,25472.559999999998
2024-01-01,1061,4035.22,4002.64,3996.09,3949.26,3938.81,3902.22,3886.71,3940.71,3863.26,3907.4,3841.12,3887.12,3823.06,3834.64,3871.61,3848.45,3953.23,4005.11,4108.95,4050.99,4066.33,4022.39,4140.15,4173.78,95049.25
2024-01-01,1062,471.76,471.44,442.11,453.98,468.27,495.44,457.14,454.05,471.12,479.73,465.04,477.09,486.89,554.07,685.35,796.4,810.1,771.05,705.03,656.71,636.43,682.98,807.17,843.63,14042.98
2024-01-01,1063,196.42,197.96,188.68,190.13,187.45,192.22,163.6,159.12,156.49,152.24,153.21,155.42,164.09,180.13,282.05,167.79,181.3,180.3,200.97,202.18,214.61,200.06,165.23,161.39,4393.040000000001
